id,course_title,course_organization,course_certificate_type,course_rating,course_difficulty,course_students_enrolled,course_tag
346,International Organizations Management,University of Geneva,COURSE,4.8,Beginner,20k,Academic;Management
447,International Security Management,Erasmus University Rotterdam,COURSE,4.5,Beginner,2.2k,Academic;Management;Security
193,International Women's Health and Human Rights,Stanford University,COURSE,4.9,Beginner,35k,Stanford University;Academic;Top University;Health
593,International migrations: a global issue,Sciences Po,COURSE,4.6,Beginner,11k,Online Learning
667,Internet Connection: How to Get Online?,Cisco,COURSE,4.7,Beginner,36k,Online Learning
834,Internet Giants: The Law and Economics of Media Platforms,The University of Chicago,COURSE,4.8,Mixed,38k,Academic;Economics
582,Interviewing and Resume Writing in English,"University of Maryland, College Park",SPECIALIZATION,4.6,Intermediate,66k,Academic;English;Writing
495,Introducción a Data Science: Programación Estadística con R,Universidad Nacional Autónoma de México,COURSE,4.7,Beginner,140k,Data Science;Science
327,Introducción a la programación en Python I: Aprendiendo a programar con Python,Pontificia Universidad Católica de Chile,COURSE,4.4,Beginner,100k,Python
844,Introduction aux Droits de l’Homme,University of Geneva,COURSE,4.8,Mixed,46k,Academic;Introductory
830,Introduction to Ableton Live,Berklee College of Music,COURSE,4.8,Mixed,60k,Academic;Introductory
427,Introduction to Artificial Intelligence (AI),IBM,COURSE,4.7,Beginner,44k,IBM;Industry Leader;Artificial Intelligence;Art;Introductory
862,Introduction to Big Data,University of California San Diego,COURSE,4.6,Mixed,160k,Academic;Data Science;Introductory
608,Introduction to Blockchain Technologies,INSEAD,COURSE,4.7,Beginner,16k,Artificial Intelligence;Blockchain;Introductory
620,Introduction to Breast Cancer,Yale University,COURSE,4.9,Mixed,27k,Yale University;Academic;Top University;Introductory
713,Introduction to Business Analytics: Communicating with Data,University of Illinois at Urbana-Champaign,COURSE,4.7,Intermediate,14k,Academic;Data Science;Data Analytics;Business;Introductory
664,Introduction to CSS3,University of Michigan,COURSE,4.8,Mixed,84k,Academic;Web Development;Introductory
412,Introduction to Calculus,The University of Sydney,COURSE,4.8,Intermediate,53k,Academic;Mathematics;Introductory
879,Introduction to Chemistry:  Reactions and Ratios,Duke University,COURSE,4.8,Beginner,46k,Academic;Chemistry;iOS;Introductory
